,mol_index,smile_list
0,[194  43 182 185],CC(C)[C@@H](C)[C@@H](C(=O)[NH]c1ccc(O)cc1C(=O)[NH][C@H](Cc1cnc[nH]1)C(O)=O)[NH](C)C(=O)[C@H](N)CC(=O)O
1,[206   9 121 207],CO[C@@H]([C@@H]1CCC[NH]1C(=O)[C@]1(NC(=O)[C@@H](N)CCSC)CCC[NH2]O1)[C@@H](C)C(=O)[NH]1CCC[C@@]1(O)C(O)=O
2,[ 26 154 151 129],NC(=NCCCC(N)C(=O)C(=O)[NH]c1c(O)cccc1C(=O)[NH]c1ccccc1C(O)=O)NC(=O)C[C@H](N)C(O)=O
3,[188  29 113 189],C/C=C(/[NH2]C)C(=O)[NH][C@H](CC(C)C)C(=O)[NH](C)[C@H](C(=O)[NH][C@@H](c1nc(C(O)=O)cs1)[C@H](C)CC)[C@@H](C)CC
4,[ 53  22 100 182],C[C@@H](C[C@@H](C(=O)[NH][C@@H](C(O)=O)[C@H](C)C(=O)O)[NH](C)C(=O)CC[NH]C(=O)/C=C/[C@@H](N)CO)C(=O)O
5,[161 107  61 179],C/C=C1/C[NH2][C@H](C(=O)[NH][C@H](CCCCC)[C@H](C)C(=O)[NH][C@H](CCC)[C@@H](C)C(=O)[NH](C)[C@H](C(O)=O)c2ccccc2)[C@@H]1C
6,[181  24 151  67],CCC[C@@H]([NH]C(=O)c1coc([C@H](C)N)n1)[C@H](C)C(=O)[NH][C@H](/C=C/C(=O)N[C@@]1(C(O)=O)CCC[NH2]O1)CO
7,[ 10 138  35  30],CO[C@@H]([C@@H]1CCC[NH]1C(=O)[C@@H](SC)[NH](C)C(=O)[C@H](O)[C@H](N)C(=O)[NH][C@@H](C)/C=C\C(O)=O)[C@@H](C)C(O)=O
8,[ 36 103  65  27],C[NH2][C@H](/C=C(\C)C(=O)[NH](C)[C@H](C(=O)[NH](C)/C=C/CC[C@@H](C)C(=O)[NH](C)C(O)C(O)=O)[C@@H](C)CCO)C(C)C
9,[110 104  70 161],C[NH](CC(O)=O)C(=O)[C@@H]([NH]C(=O)[C@H](Cc1ccccc1)[NH](C)C(=O)c1cc(N)co1)[C@@H](O)C(=O)O
