ABA,[NH3+][C@H](C)C([O-])=O
ABB,[NH3+][C@@H](C([O-])=O)CCCNC(N)=N
ABC,[NH3+][C@@H](C([O-])=O)CC(N)=O
ABD,[NH3+][C@H](CC(O)=O)C([O-])=O
ABE,[NH3+][C@@H](C([O-])=O)CCC(N)=O
ABF,[NH3+][C@H](CS)C([O-])=O
ABG,[O-]C([C@H]1CCC[NH2+]1)=O
ABH,[NH3+][C@@]([H])(C([O-])=O)[C@@H](C)CC
ABI,[NH3+][C@@H](C([O-])=O)CC(C)C
ABJ,[NH3+][C@@H](C([O-])=O)CCCCN
ABK,[NH3+][C@H](CCSC)C([O-])=O
ABL,[NH3+][C@@H](C([O-])=O)CCC(O)=O
ABM,[NH3+][C@H](CC1=CC=C(C=C1)O)C([O-])=O
ABN,[NH3+][C@@H](C([O-])=O)C(C)C
ABO,[NH3+][C@@H](C([O-])=O)CO
ABP,[NH3+][C@@]([H])(C([O-])=O)[C@H](O)C
ABQ,[NH3+][C@H](CC1=CNC2=C1C=CC=C2)C([O-])=O
ABR,[NH3+][C@H](CC1=CN=CN1)C([O-])=O
ABS,[NH3+][C@H](CC1=CC=CC=C1)C([O-])=O
ACA,[O-]C([C@@H]([NH3+])CCC1=CC=CC=C1)=O
ACB,[O-]C([C@@H]([NH3+])C(C1=CC=CC=C1)=O)=O
ACC,O=C([O-])[C@H]([C@H](C1=CC=CC=C1)C)[NH3+]
ACD,CO[C@H]([C@@H](C)C([O-])=O)[C@@H]1CCC[NH2+]1
ACE,C[NH2+][C@]([C@@H](C)CC)([H])C([O-])=O
ACF,C[NH2+]/C=C/CC[C@@H](C)C([O-])=O
ACG,O=C([C@H]([C@H]([NH3+])C([O-])=O)C)O
ACH,CC[C@@H]([NH3+])[C@@H](C)C([O-])=O
ACI,CC[C@H](C)[C@H]([C@H](CC([O-])=O)O)[NH3+]
ACJ,CC[C@H]([NH3+])[C@]([H])(C)C([O-])=O
ACK,[NH3+][C@@H]([C@H](CC([O-])=O)O)CC(C)C
ACL,C[NH2+][C@H](C([O-])=O)[C@@H](C)O
ACM,O=C([O-])/C=C\[C@H](CO)[NH3+]
ACN,O[C@H](C[NH3+])C([O-])=O
ACO,C[NH2+][C@H](C([O-])=O)[C@H](C)C(C)C
ACP,CC([C@@H](Cl)[C@H]([NH3+])C([O-])=O)C
ACR,NC[C@@H](O)[C@@H]([NH3+])C([O-])=O
ACS,[O-]C([C@H](C)[C@@H](O)[C@@H](C)[NH3+])=O
ACT,NCCC[C@H]([NH3+])C([O-])=O
ACU,NCC[C@@H](C([O-])=O)[NH3+]
ACV,C[NH2+][C@H](C([O-])=O)[C@H](C)CCO
ACW,OC1=CC=C([C@H]([NH3+])CC([O-])=O)C=C1
ARA,[NH3+][C@H](C([O-])=O)CCCC/N=C(N)\N
ARB,N/C(N)=N\CCC[C@H]([NH3+])C([O-])=O
ARC,N/C(N)=N\CCCC([NH3+])C(C([O-])=O)=O
ARD,O=C(/C([NH3+])=C/CC/N=C(N)\N)[O-]
ARE,[NH3+][C@H](C([O-])=O)CCC/N=C(N)/N
ARF,O=C(N)CC[C@H]([NH2+]C)C([O-])=O
ARH,O=C([C@H]([C@@H]([NH3+])C([O-])=O)C)N
GLA,O=C([C@H](CCCN)[NH3+])[O-]
GLB,OC([NH2+]C)C([O-])=O
GLC,CC(/C=C/[NH3+])=C/C/C=C/C([O-])=O
GLD,O=C(/C([NH3+])=C/CCN)[O-]
GLE,CC(/C=C/[NH3+])=C/C=C/CC([O-])=O
GLF,O=C([C@@H]([NH3+])COC(C)(C)C=C)[O-]
GLG,O=C([O-])[C@H]([NH3+])CCCN
GLH,O=C([O-])[C@H](CCCNO)[NH3+]
GLI,ONCCC[C@H](C([O-])=O)[NH2+]C
GLJ,ONCCCC[C@H](C([O-])=O)[NH3+]
GLK,O=C([O-])[C@@H](CCCNO)[NH3+]
ILA,CC[C@H]([C@@H]([NH3+])C(C([O-])=O)=O)C
